Wk,Date,Local,Score,Visitante,Attendance,Torneo,Goles Local,Goles Visitante,Total goles partido,Año,Mes,Temporada,Resultado,Ganador
1.0,2021-08-13,Valencia,1–0,Getafe,9868.0,Primera división,1,0,1,2021,8,21/22,Local,Valencia
1.0,2021-08-14,Cádiz,1–1,Levante,6941.0,Primera división,1,1,2,2021,8,21/22,Empate,Empate
1.0,2021-08-14,Mallorca,1–1,Betis,6279.0,Primera división,1,1,2,2021,8,21/22,Empate,Empate
1.0,2021-08-14,Osasuna,0–0,Espanyol,6715.0,Primera división,0,0,0,2021,8,21/22,Empate,Empate
1.0,2021-08-14,Alavés,1–4,Real Madrid,3968.0,Primera división,1,4,5,2021,8,21/22,Visitante,Real Madrid
1.0,2021-08-15,Celta Vigo,1–2,Atlético Madrid,5401.0,Primera división,1,2,3,2021,8,21/22,Visitante,Atlético Madrid
1.0,2021-08-15,Barcelona,4–2,Real Sociedad,20384.0,Primera división,4,2,6,2021,8,21/22,Local,Barcelona
1.0,2021-08-15,Sevilla,3–0,Rayo Vallecano,13962.0,Primera división,3,0,3,2021,8,21/22,Local,Sevilla
1.0,2021-08-16,Villarreal,0–0,Granada,7837.0,Primera división,0,0,0,2021,8,21/22,Empate,Empate
1.0,2021-08-16,Elche,0–0,Athletic Club,9145.0,Primera división,0,0,0,2021,8,21/22,Empate,Empate
2.0,2021-08-20,Betis,1–1,Cádiz,23745.0,Primera división,1,1,2,2021,8,21/22,Empate,Empate
2.0,2021-08-21,Alavés,0–1,Mallorca,2896.0,Primera división,0,1,1,2021,8,21/22,Visitante,Mallorca
2.0,2021-08-21,Granada,1–1,Valencia,6267.0,Primera división,1,1,2,2021,8,21/22,Empate,Empate
2.0,2021-08-21,Espanyol,0–0,Villarreal,11095.0,Primera división,0,0,0,2021,8,21/22,Empate,Empate
2.0,2021-08-21,Athletic Club,1–1,Barcelona,9394.0,Primera división,1,1,2,2021,8,21/22,Empate,Empate
2.0,2021-08-22,Real Sociedad,1–0,Rayo Vallecano,7652.0,Primera división,1,0,1,2021,8,21/22,Local,Real Sociedad
2.0,2021-08-22,Atlético Madrid,1–0,Elche,24926.0,Primera división,1,0,1,2021,8,21/22,Local,Atlético Madrid
2.0,2021-08-22,Levante,3–3,Real Madrid,9838.0,Primera división,3,3,6,2021,8,21/22,Empate,Empate
2.0,2021-08-23,Getafe,0–1,Sevilla,4810.0,Primera división,0,1,1,2021,8,21/22,Visitante,Sevilla
2.0,2021-08-23,Osasuna,0–0,Celta Vigo,7189.0,Primera división,0,0,0,2021,8,21/22,Empate,Empate
3.0,2021-08-27,Mallorca,1–0,Espanyol,7529.0,Primera división,1,0,1,2021,8,21/22,Local,Mallorca
3.0,2021-08-27,Valencia,3–0,Alavés,10627.0,Primera división,3,0,3,2021,8,21/22,Local,Valencia
3.0,2021-08-28,Celta Vigo,0–1,Athletic Club,5492.0,Primera división,0,1,1,2021,8,21/22,Visitante,Athletic Club
3.0,2021-08-28,Real Sociedad,1–0,Levante,7758.0,Primera división,1,0,1,2021,8,21/22,Local,Real Sociedad
3.0,2021-08-28,Elche,1–1,Sevilla,10385.0,Primera división,1,1,2,2021,8,21/22,Empate,Empate
3.0,2021-08-28,Betis,0–1,Real Madrid,22590.0,Primera división,0,1,1,2021,8,21/22,Visitante,Real Madrid
3.0,2021-08-29,Barcelona,2–1,Getafe,26543.0,Primera división,2,1,3,2021,8,21/22,Local,Barcelona
3.0,2021-08-29,Rayo Vallecano,4–0,Granada,583000.0,Primera división,4,0,4,2021,8,21/22,Local,Rayo Vallecano
3.0,2021-08-29,Cádiz,2–3,Osasuna,7452.0,Primera división,2,3,5,2021,8,21/22,Visitante,Osasuna
3.0,2021-08-29,Atlético Madrid,2–2,Villarreal,26840.0,Primera división,2,2,4,2021,8,21/22,Empate,Empate
4.0,2021-09-11,Levante,1–1,Rayo Vallecano,12974.0,Primera división,1,1,2,2021,9,21/22,Empate,Empate
4.0,2021-09-11,Athletic Club,2–0,Mallorca,14566.0,Primera división,2,0,2,2021,9,21/22,Local,Athletic Club
4.0,2021-09-12,Espanyol,1–2,Atlético Madrid,15321.0,Primera división,1,2,3,2021,9,21/22,Visitante,Atlético Madrid
4.0,2021-09-12,Osasuna,1–4,Valencia,13940.0,Primera división,1,4,5,2021,9,21/22,Visitante,Valencia
4.0,2021-09-12,Cádiz,0–2,Real Sociedad,11826.0,Primera división,0,2,2,2021,9,21/22,Visitante,Real Sociedad
4.0,2021-09-12,Real Madrid,5–2,Celta Vigo,19874.0,Primera división,5,2,7,2021,9,21/22,Local,Real Madrid
4.0,2021-09-13,Getafe,0–1,Elche,6853.0,Primera división,0,1,1,2021,9,21/22,Visitante,Elche
4.0,2021-09-13,Granada,1–2,Betis,10201.0,Primera división,1,2,3,2021,9,21/22,Visitante,Betis
5.0,2021-09-17,Celta Vigo,1–2,Cádiz,6754.0,Primera división,1,2,3,2021,9,21/22,Visitante,Cádiz
5.0,2021-09-18,Rayo Vallecano,3–0,Getafe,3280.0,Primera división,3,0,3,2021,9,21/22,Local,Rayo Vallecano
5.0,2021-09-18,Atlético Madrid,0–0,Athletic Club,38798.0,Primera división,0,0,0,2021,9,21/22,Empate,Empate
5.0,2021-09-18,Elche,1–1,Levante,11507.0,Primera división,1,1,2,2021,9,21/22,Empate,Empate
