Fecha,Temporada,Equipo,Puntos
1,21/22,Valencia,3
1,21/22,Barcelona,3
1,21/22,Atlético Madrid,3
1,21/22,Sevilla,3
1,21/22,Real Madrid,3
1,21/22,Osasuna,1
1,21/22,Villarreal,1
1,21/22,Elche,1
1,21/22,Cádiz,1
1,21/22,Granada,1
1,21/22,Espanyol,1
1,21/22,Athletic Club,1
1,21/22,Mallorca,1
1,21/22,Levante,1
1,21/22,Betis,1
1,21/22,Celta Vigo,0
1,21/22,Alavés,0
1,21/22,Real Sociedad,0
1,21/22,Getafe,0
1,21/22,Rayo Vallecano,0
2,21/22,Atlético Madrid,6
2,21/22,Sevilla,6
2,21/22,Valencia,4
2,21/22,Barcelona,4
2,21/22,Real Madrid,4
2,21/22,Mallorca,4
2,21/22,Real Sociedad,3
2,21/22,Osasuna,2
2,21/22,Villarreal,2
2,21/22,Cádiz,2
2,21/22,Granada,2
2,21/22,Espanyol,2
2,21/22,Athletic Club,2
2,21/22,Levante,2
2,21/22,Betis,2
2,21/22,Celta Vigo,1
2,21/22,Elche,1
2,21/22,Alavés,0
2,21/22,Getafe,0
2,21/22,Rayo Vallecano,0
3,21/22,Valencia,7
3,21/22,Barcelona,7
3,21/22,Atlético Madrid,7
3,21/22,Sevilla,7
3,21/22,Real Madrid,7
3,21/22,Mallorca,7
3,21/22,Real Sociedad,6
3,21/22,Osasuna,5
3,21/22,Athletic Club,5
3,21/22,Villarreal,3
3,21/22,Rayo Vallecano,3
3,21/22,Elche,2
3,21/22,Cádiz,2
3,21/22,Granada,2
3,21/22,Espanyol,2
3,21/22,Levante,2
3,21/22,Betis,2
3,21/22,Celta Vigo,1
3,21/22,Alavés,0
3,21/22,Getafe,0
4,21/22,Valencia,10
4,21/22,Atlético Madrid,10
4,21/22,Real Madrid,10
4,21/22,Real Sociedad,9
4,21/22,Athletic Club,8
4,21/22,Barcelona,8
4,21/22,Sevilla,8
4,21/22,Mallorca,7
4,21/22,Villarreal,6
4,21/22,Osasuna,5
4,21/22,Betis,5
4,21/22,Elche,5
4,21/22,Rayo Vallecano,4
4,21/22,Levante,3
4,21/22,Espanyol,2
4,21/22,Cádiz,2
4,21/22,Granada,2
4,21/22,Celta Vigo,1
4,21/22,Alavés,0
4,21/22,Getafe,0
5,21/22,Real Madrid,13
5,21/22,Atlético Madrid,11
5,21/22,Real Sociedad,10
5,21/22,Valencia,10
5,21/22,Barcelona,9
5,21/22,Sevilla,9
5,21/22,Athletic Club,9
5,21/22,Osasuna,8
5,21/22,Mallorca,8
5,21/22,Villarreal,7
5,21/22,Rayo Vallecano,7
5,21/22,Elche,6
5,21/22,Betis,6
5,21/22,Cádiz,5
5,21/22,Levante,4
