COMUNA,PERSONAS,MZ_ENT
13101,421,3
13101,185,4
13101,776,5
13101,416,6
13101,376,7
13101,136,2
13101,283,3
13101,143,4
13101,700,5
13101,732,6
13101,288,7
13101,460,3
13101,91,4
13101,58,5
13101,78,6
13101,463,7
13101,294,8
13101,765,9
13101,1107,1
13101,262,2
13101,289,3
13101,40,4
13101,29,5
13101,94,6
13101,487,1
13101,80,2
13101,657,3
13101,517,4
13101,230,1
13101,723,2
13101,630,3
13101,908,4
13101,157,1
13101,1904,2
13101,869,3
13101,1434,1
13101,305,2
13101,81,3
13101,985,1
13101,1278,2
13101,505,3
13101,101,1
13101,2322,2
13101,353,1
13101,1452,2
13101,21,1
13101,1014,2
13101,261,3
13101,806,1
13101,2159,2
13101,1624,1
13101,950,1
13101,395,2
13101,144,1
13101,61,2
13101,93,3
13101,431,4
13101,1278,5
13101,456,6
13101,92,7
13101,2560,1
13101,1280,1
13101,270,2
13101,624,1
13101,493,2
13101,96,3
13101,43,4
13101,1473,7
13101,1375,901
13101,1736,2
13101,131,4
13101,1324,901
13101,1894,1
13101,1229,1
13101,1518,2
13101,522,1
13101,1930,2
13101,19,1
13101,142,2
13101,517,3
13101,1078,4
13101,42,5
13101,1688,1
13101,1036,2
13101,481,1
13101,1263,4
13101,667,5
13101,8,6
13101,11,901
13101,580,1
13101,2014,2
13101,720,1
13101,75,2
13101,1474,3
13101,785,1
13101,1211,2
13101,1960,1
13101,995,1
13101,682,3
13101,512,1
13101,1347,2
13101,172,1
13101,1398,2
13101,148,3
13101,834,4
13101,751,1
13101,2554,2
13101,127,3
13101,23,901
13101,47,10
13101,614,11
13101,68,12
13101,52,2
13101,84,5
13101,321,6
13101,245,7
13101,605,8
13101,97,9
13101,187,901
13101,82,1
13101,45,2
13101,1488,3
13101,63,4
13101,96,5
13101,2011,1
13101,1612,1
13101,578,2
13101,499,3
13101,800,4
13101,46,5
13101,760,6
13101,130,7
13101,177,2
13101,100,3
13101,1328,5
13101,312,6
13101,178,901
13101,949,1
13101,554,2
13101,1769,3
13101,53,500
13101,3014,502
13101,4682,1
13101,4441,1
13101,135,1
13101,56,2
13101,1393,5
13101,58,6
13101,169,901
13101,1759,1
13101,2004,1
13101,436,2
13101,117,3
13101,1396,4
13101,1025,2
13101,1383,4
13101,34,901
13101,378,1
13101,317,11
13101,1343,12
13101,154,13
13101,183,14
13101,68,3
13101,557,4
13101,99,7
13101,33,8
13101,551,9
13101,1262,1
13101,0,3
13101,0,4
13101,28,6
13101,907,901
13101,272,1
13101,10,10
13101,338,11
13101,828,12
13101,1069,13
13101,37,2
13101,24,3
13101,139,4
13101,0,6
13101,213,8
13101,22,9
13101,3025,1
13101,29,1
13101,35,2
13101,17,3
13101,1802,4
13101,1575,5
13101,173,6
13101,76,1
13101,123,10
13101,168,11
13101,102,12
13101,1817,13
13101,40,14
13101,55,15
13101,63,16
13101,199,17
13101,29,18
13101,96,19
13101,95,2
13101,81,20
13101,65,21
13101,56,22
13101,131,23
13101,137,24
13101,94,25
13101,113,3
13101,204,4
13101,77,5
13101,59,6
13101,142,7
13101,113,8
13101,238,9
13101,37,10
13101,72,11
13101,90,12
13101,568,13
13101,84,14
13101,56,15
13101,41,2
13101,449,4
13101,890,5
13101,239,6
13101,410,7
13101,16,8
13101,84,9
13101,12,901
13101,1500,1
13101,34,2
13101,26,3
13101,1764,4
13101,514,5
13101,83,6
13101,58,7
13101,88,8
13101,118,1
13101,96,10
13101,1279,12
13101,177,13
13101,109,14
13101,77,15
13101,45,16
13101,293,17
13101,81,18
13101,27,19
13101,196,2
13101,444,20
13101,163,21
13101,87,3
13101,56,4
13101,49,5
13101,153,6
13101,1108,7
13101,158,8
13101,81,9
13101,645,1
13101,212,2
13101,83,3
13101,52,4
13101,744,5
13101,1095,6
13101,838,7
13101,246,8
13101,120,1
13101,129,10
13101,384,11
13101,118,12
13101,24,13
13101,528,14
13101,785,15
13101,43,2
13101,360,3
13101,20,4
13101,48,5
13101,498,6
13101,43,7
13101,110,8
13101,434,9
13101,151,1
13101,395,10
13101,87,11
13101,46,12
13101,145,3
13101,217,4
13101,781,5
13101,49,6
13101,57,7
13101,46,9
13101,64,901
13101,61,1
13101,31,2
13101,2431,3
13101,114,4
13101,48,1
13101,76,10
13101,50,11
13101,119,12
13101,73,13
13101,54,14
13101,81,15
13101,38,16
13101,54,17
13101,19,18
13101,173,19
13101,236,2
13101,84,20
13101,143,21
13101,130,22
13101,121,23
13101,140,24
13101,109,25
13101,67,26
13101,76,27
13101,67,28
13101,124,29
13101,1523,3
13101,45,30
13101,63,31
13101,86,32
13101,33,33
13101,104,34
13101,69,35
13101,101,36
13101,95,37
13101,817,4
13101,109,5
13101,78,6
13101,41,7
13101,48,8
13101,47,9
13101,176,1
13101,100,2
13101,3792,3
13101,1263,4
13101,91,1
13101,152,10
13101,25,11
13101,78,12
13101,153,13
13101,129,14
13101,125,15
13101,92,16
13101,122,17
13101,161,18
13101,81,19
13101,81,2
13101,57,20
13101,96,21
13101,117,22
13101,35,23
13101,92,24
13101,78,25
13101,28,26
13101,24,27
13101,821,29
13101,86,3
13101,78,30
13101,69,31
13101,69,36
13101,97,37
13101,95,38
13101,146,39
13101,636,4
13101,85,40
13101,47,41
13101,39,42
13101,39,43
13101,79,44
13101,85,46
13101,105,47
13101,71,48
13101,114,49
13101,100,50
13101,54,500
13101,95,501
13101,70,51
13101,100,52
13101,176,53
13101,47,54
13101,8,6
13101,72,7
13101,189,8
13101,131,9
13101,18,901
13101,57,1
13101,97,10
13101,131,11
13101,130,12
13101,80,13
13101,66,14
13101,29,15
13101,102,16
13101,37,17
13101,116,18
13101,113,19
13101,1658,2
13101,166,20
13101,118,3
13101,23,4
13101,65,5
13101,72,6
13101,97,7
13101,81,8
13101,425,9
13101,52,1
13101,141,10
13101,73,11
13101,92,12
13101,103,13
13101,74,14
13101,92,15
13101,53,16
13101,62,17
13101,60,18
13101,54,19
13101,47,20
13101,193,21
13101,71,23
13101,22,24
13101,112,26
13101,79,27
13101,107,28
13101,74,29
13101,78,3
13101,114,30
13101,102,31
13101,43,32
13101,82,4
13101,95,5
13101,108,6
13101,53,7
13101,115,8
13101,104,9
13101,100,901
13101,29,1
13101,33,10
13101,265,11
13101,1948,13
13101,57,14
13101,175,16
13101,119,17
13101,120,2
13101,142,3
13101,668,4
13101,124,5
13101,94,6
13101,72,7
13101,78,8
13101,183,9
13101,163,901
13101,472,1
13101,187,10
13101,150,11
13101,275,12
13101,612,13
13101,64,14
13101,195,15
13101,126,16
13101,324,2
13101,497,3
13101,510,4
13101,102,5
13101,145,6
13101,211,7
13101,10,8
13101,180,9
13101,268,1
13101,89,10
