,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,coordinates_latitude,coordinates_longitude,location_address1,location_address2,location_address3,location_city,location_zip_code,location_country,location_state,location_display_address
0,8N6Y3HsLXHBeFwhlO0YxwQ,barrica-94-santiago,Barrica 94,https://s3-media4.fl.yelpcdn.com/bphoto/IsbzIaMAJpkH9mmCGu5aMw/o.jpg,False,https://www.yelp.com/biz/barrica-94-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,76,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'chilean', 'title': 'Chilean'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,[],$$,+5627324939,+56 27324939,1395.7350189410245,-33.4342880070125,-70.6352240592241,Bellavista 052,,,Santiago,8320000,CL,RM,"['Bellavista 052', 'RM 8320000 Santiago', 'Chile']"
1,y2FR-JBGie4wiW6RjtKLhg,aquí-está-coco-santiago,Aquí Está Coco,https://s3-media4.fl.yelpcdn.com/bphoto/W9lFJpoTKj4xXVjw_hQY9A/o.jpg,False,https://www.yelp.com/biz/aqu%C3%AD-est%C3%A1-coco-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,57,"[{'alias': 'seafood', 'title': 'Seafood'}]",4.5,[],$$$$,+5624106200,+56 24106200,2366.370671235577,-33.42406349,-70.61662393,La Concepción 236,,,Santiago,,CL,RM,"['La Concepción 236', 'RM Santiago', 'Chile']"
2,LGwEqYL0reUsRdtqE44ITQ,chipe-libre-república-independiente-del-pisco-santiago-2,Chipe Libre - República Independiente del Pisco,https://s3-media2.fl.yelpcdn.com/bphoto/gi4T3uKSwWZvmyF_8bfKuQ/o.jpg,False,https://www.yelp.com/biz/chipe-libre-rep%C3%BAblica-independiente-del-pisco-santiago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,73,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'peruvian', 'title': 'Peruvian'}, {'alias': 'chilean', 'title': 'Chilean'}]",4.5,[],$$$,+56226640584,+56 2 2664 0584,1568.1348862352445,-33.4383392,-70.6411438,José Victorino Lastarria 282,,,Santiago,8320156,CL,RM,"['José Victorino Lastarria 282', 'RM 8320156 Santiago', 'Chile']"
3,U15KdCy6HH05WISNtN9plQ,restaurant-peumayén-santiago,Restaurant Peumayén,https://s3-media2.fl.yelpcdn.com/bphoto/wkJAtF3Z4X5FUw5CR4c7tg/o.jpg,False,https://www.yelp.com/biz/restaurant-peumay%C3%A9n-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,68,"[{'alias': 'latin', 'title': 'Latin American'}]",4.5,[],$$$$,,,1504.863539969912,-33.4328073,-70.6348213,Constitución 136,,,Santiago,7500000,CL,RM,"['Constitución 136', 'RM 7500000 Santiago', 'Chile']"
4,KQ2D3gs9y0wIuTqoKOHO4w,mestizo-santiago,Mestizo,https://s3-media3.fl.yelpcdn.com/bphoto/GV-sn6fGs1JteFYHxzHK6A/o.jpg,False,https://www.yelp.com/biz/mestizo-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,55,"[{'alias': 'chilean', 'title': 'Chilean'}, {'alias': 'international', 'title': 'International'}]",4.5,[],$$$$,+56974776093,+56 9 7477 6093,6034.856264954543,-33.394083457956,-70.600033248157,Av. del Bicentenario 4050,,,Santiago,8320000,CL,RM,"['Av. del Bicentenario 4050', 'RM 8320000 Santiago', 'Chile']"
5,IUBOvOYsrcyRMdp8V2O06g,la-diana-santiago,La Diana,https://s3-media3.fl.yelpcdn.com/bphoto/RDs9-jGAOXcwittq038xWQ/o.jpg,False,https://www.yelp.com/biz/la-diana-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,13,"[{'alias': 'brasseries', 'title': 'Brasseries'}, {'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'latin', 'title': 'Latin American'}]",4.5,[],$$$,+56226649018,+56 2 2664 9018,2353.060860197377,-33.450898,-70.649611,Arturo Prat 435,,,Santiago,8320000,CL,RM,"['Arturo Prat 435', 'RM 8320000 Santiago', 'Chile']"
6,CAFL80wAGOMcPrEO6uMnkA,fuente-alemana-santiago-2,Fuente Alemana,https://s3-media3.fl.yelpcdn.com/bphoto/k8j_UdxnZ6_LV_mB6Vxopg/o.jpg,False,https://www.yelp.com/biz/fuente-alemana-santiago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,58,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,[],$$,+5626393231,+56 26393231,1200.383671071289,-33.4375198417072,-70.6360235448149,Av. Libertador Bernardo O'Higgins 58,,,Santiago,8320000,CL,RM,"[""Av. Libertador Bernardo O'Higgins 58"", 'RM 8320000 Santiago', 'Chile']"
7,D7aZ9ZGpnyObEawvMsXi_A,liguria-santiago-5,Liguria,https://s3-media1.fl.yelpcdn.com/bphoto/5ANiJhZDUqkF0F_htgLtnA/o.jpg,False,https://www.yelp.com/biz/liguria-santiago-5?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,30,"[{'alias': 'chilean', 'title': 'Chilean'}]",4.0,[],$$,+56222311393,+56 2 2231 1393,3555.6174257192474,-33.418295,-70.6028055,Luis Thayer Ojeda 019,,,Santiago,7500000,CL,RM,"['Luis Thayer Ojeda 019', 'RM 7500000 Santiago', 'Chile']"
8,sK0uAwUhsFII6MkuyiMCFA,la-cabrera-santiago,La Cabrera,https://s3-media1.fl.yelpcdn.com/bphoto/cwJ0m5Iy4kM9hOEVMfwytA/o.jpg,False,https://www.yelp.com/biz/la-cabrera-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,7,"[{'alias': 'steak', 'title': 'Steakhouses'}]",4.5,[],,+56932361687,+56 9 3236 1687,5653.6296605319685,-33.40349,-70.58857,Alonso de Córdova 4263,,,Santiago,,CL,RM,"['Alonso de Córdova 4263', 'RM Santiago', 'Chile']"
9,9L7D68rsmWKp3ynU8xA4TQ,la-mar-santiago,La Mar,https://s3-media4.fl.yelpcdn.com/bphoto/XU67DRi_Ep-6vPATIYaQeQ/o.jpg,False,https://www.yelp.com/biz/la-mar-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,36,"[{'alias': 'peruvian', 'title': 'Peruvian'}]",4.5,[],$$$$,+56222067839,+56 2 2206 7839,5879.6278181647995,-33.3997243,-70.5909546,Av. Nueva Costanera 4076,,,Santiago,7630000,CL,RM,"['Av. Nueva Costanera 4076', 'RM 7630000 Santiago', 'Chile']"
